ID.format,ID.completed,ID.case,ID.interviewer,ID.date,ID.start,ID.endDate,ID.end,ID.time,ID.name,Q1,Q2,Q3a,Q3b,Q3c,Q4,Q5:1,Q5:2,Q5:3,Q5:4,Q5:5,Q6,Q7,Q8,Q9,Q10:1,Q10:2,Q10:3,Q11,Q12,Q13,Q14,Q15,Q16:1,Q16:2,Q16:3,Q16:4,Q17,Q18a,Q19,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q22,Q23,Q24,Q25,Q26,Q27a,Q28a,Q29,Q30,Q31,NewNetEasy,Q32,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q34a,Q35,OverallSat,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47:1,Q47:2,Q47:3,Q47:4,Q47:5,Q47:6,Q47:7,Q47:8,Q48
The published format which was employed,Complete response received,Usable as a case identifier,Name or ID of interviewer,Date of interview,Time interview started,Completion date of interview,Time interview ended,Duration of interview,"Name, login or ID of respondent",Were you recently involved in the process of on-boarding ...,Have you answered questions about your on-boarding experi...,Format,Ease of reading/understanding,Ease of completion,Please tell us the reason(s) for your ratings. (Please ty...,Did you face any challenges when setting up your account ...,Did you face any challenges when setting up your account ...,Did you face any challenges when setting up your account ...,Did you face any challenges when setting up your account ...,Did you face any challenges when setting up your account ...,Please tell us about the other challenges you faced when ...,Did the transition to the new service meet all of your on...,Please tell us about the on-boarding requirements that we...,Did you contact the NHS Jobs support team during your on-...,"Thinking about your last contact, how did you get in touc...","Thinking about your last contact, how did you get in touc...","Thinking about your last contact, how did you get in touc...",Please type in:,How many times did you contact us to resolve your query? ...,Were all of your queries fully resolved? (Please select ...,Please tell us about your query and why it was not fully ...,Was the support team available at the time/s you needed s...,Was this because... (Please select one response below),Was this because... (Please select one response below),Was this because... (Please select one response below),Was this because... (Please select one response below),Please tell us why the support team wasn't available. (Pl...,How easy was it to get the help you needed when you conta...,Please tell us the reason for your rating. (Please type i...,Politeness of the advisor,Advisor's ability to resolve your query,Response received resolving your query,Customer contact overall,Format,Content/information,Ease of reading,Ease of understanding,Did you feel you received the right amount of communicati...,Did the communications contain all the information you ne...,Please tell us what information you felt was missing. (Pl...,What one thing would you suggest to improve the overall o...,Do you have any other feedback on your on-boarding experi...,,How easy was it to complete the on-boarding process overa...,What do you feel is the most important feature of the new NHS Jobs service?,What features of the new NHS Jobs service worked well for you?,What would you improve about the new NHS Jobs service?,"Overall, how easy is it to use the new NHS Jobs service? ...",Please tell us the reason(s) for your rating. (Please type in the box below),Which of the following training and support resources hav...,Which of the following training and support resources hav...,Which of the following training and support resources hav...,Which of the following training and support resources hav...,Which of the following training and support resources hav...,,Please tell us the reason(s) for your rating. (Please typ...,"Overall, on a scale of 1 to 10 (where 1 is completely dis...",Please give reasons for your rating below.,What type of organisation do you work for? (Please select...,Other (please specify in the box below),In which region are you based? (Please select one respons...,Please type in,What is your current role in relation to recruitment? (Pl...,Please type in,On average how often do you use NHS Jobs as part of your ...,How long have you been using the new NHS Jobs service? (P...,Approximately how many vacancies have you published via t...,Do you only use NHS Jobs or a combination of NHS Jobs and...,Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Which other system(s) do you use? (Please select all that apply below),Please type in
Web: Snap WebHost,completed,9f96dcd4-3c5e-48c2-85d8-07273323c007,,12/10/2021,14:18:36,12/10/2021,14:24:37,6.02,ARJE2868YN198,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The clear layout.,The new service is not working well for us at all.  We were extremely happy with the old version.,Lots of things - my colleagues and I would prefer to use the old version of NHS Jobs.  It does everything we need.,Very difficult,A lot of the functions are no longer available.,Frequently asked questions (FAQs),User guides,Videos,NHS Jobs training website,,Useful,They are useful.,9,I have already emailed regarding the aspects of the new NHS Jobs that just do not work for us.,Social Enterprise,,East of England,,NHS Jobs Super User,,At least once per day,12 months or more,1,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,4418ac16-d35e-4540-adb9-2c9112ce5f5a,,12/10/2021,14:18:12,12/10/2021,14:26:20,8.13,ARJE9611DN653,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a,being informed when a nhs job has closed/reached it's deadline,Neither easy nor difficult,,,,,,None of the above,,,6,"I find it neither amazing, nor do I find it poor",Other organisation type (please type in the box below),Care Homes,National,,Recruitment Officer,,Fortnightly,12 months or more,,A combination of NHS Jobs and another system,,,,Broadbean,Taleo,,,,
Web: Snap WebHost,completed,e5114558-cfa8-4e75-b34f-53d83e03c0d0,,12/10/2021,14:35:12,12/10/2021,14:41:06,5.9,ARJE6906ZG528,Yes,No,Good,Good,Good,,,,,,None,,Yes,,Yes,Email,,,,Once,"Yes, fully",,Yes,,,,,,Fairly easy,,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Good,Good,Good,Good,Yes,Yes,,Nil,Nil,9,Very easy,Ease of applications for the candidates,Downloading applications,Allowing contact details to be seen prior to shortlisting - I am having to close the advert in order to view candidate details then reopening the ad. Due to the job and candidate market candidates get snapped up quickly and I want to be able to contact the candidates without having to do the lengthy process of closing and then re-opening the advert.,Very easy,,,,,,None of the above,,,3,"Various things - Lengthy advert process, unable to view candidate names and contact details, etc. Not a quick and easy tool to use",GP practice,,Midlands,,Hiring/Recruiting Manager,,At least once per day,4 to 6 months,30,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,c5984b87-7320-4461-b704-3f93b2840cb8,,12/10/2021,14:35:51,12/10/2021,14:52:40,16.82,ARJE2942OX193,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It reaches a wide healthcare organisation.,the review of candidates.,"Allow employers to have more control of the process, much of our process is handled outside nhs jobs as it is too long winded.",Fairly difficult,The system is really inflexible to the extent that it can take anything from 1.5 to 2 hours to load a new role.  When you invite candidates for interview the mode of interview should be enabled - it does not currently.  I do not want add numerous people to manage access the system so I would like just to list the Panel. As we have completed recruitment off line I now cannot close the job without sending very out of date notifications.,,,,,None of the above,,,3,see previous answer.,Other organisation type (please type in the box below),GP Federation,London,,Hiring/Recruiting Manager,,Quarterly,12 months or more,10,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,f8030b37-371f-4eba-8182-78f45b344367,,12/10/2021,14:59:16,12/10/2021,15:03:23,4.12,ARJE5316DD826,Yes,No,Good,Good,Good,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,7,Fairly easy,,,,Very easy,,,User guides,,,,Useful,,7,,GP practice,,South West,,Hiring/Recruiting Manager,,Less frequently than quarterly,12 months or more,4,Not sure,,,,,,,,,
Web: Snap WebHost,completed,83b1fa0f-86fa-4b31-9f19-5d2122045379,,12/10/2021,15:12:32,12/10/2021,15:16:50,4.3,ARJE9656LB249,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have not used it yet,Have not used it yet,Have not used it yet,Neither easy nor difficult,,,,,,None of the above,,,5,Have not used it yet,NHS Trust/Health Board,,South East,,Recruitment Officer,,Less frequently than quarterly,1 month,0,Not sure,,,,,,,,,
Web: Snap WebHost,completed,74147914-b7ac-4c03-9294-bc41e1029aec,,12/10/2021,14:59:40,12/10/2021,15:18:44,19.07,ARJE5169EP869,Yes,No,Poor,Poor,Poor,system not fit for purpose,Completion of the on-boarding form,,,,,,No,not a user friendly way to recruit people - dont like the new service,No,,,,,,,,,,,,,,,,,,,,Fair,Fair,Fair,Fair,"No, there were too many communications","No, I felt some information was missing",,,,7,Fairly easy,cant think of anything good to say,logging in,"names and address of applicants visible, no chronicle order of previous employment with dates, very difficult to follow once information is printed. You could invite someone who youve previously interviewed and wasnt suitable - wasting recruiters time. Nothing wrong with the previous questions and set up. applicants seem unable to upload a CV. Applicants complain about the system not being user friendly. Feedback given previously and no improvements made. Unable to start shortlisting without closing the ad Have started using Indeed as much better recruitment process and I will avoid NHS jobs at all costs unless significant improvements made",Extremely difficult,As above - too much time wasted to use the system and hardly anyone applying through NHS jobs - last posting I received 4 applicants and 120+ on Indeed,,User guides,,,,Not very useful,"I was hoping it would advise me of a simpler way to create , close and review applicants but it didnt.",Completely dissatisfied 1,view previous comments. Not fit for purpose and also unable to change meeting times and then if you see someone at a different apt slot you cant leave feedback. You cant delete or archive old posts so they are just there!,GP practice,,Midlands,,NHS Jobs Super User,,Quarterly,12 months or more,8,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,96083189-7bc6-4555-b3e4-b7ced8ff6928,,12/10/2021,15:01:13,12/10/2021,15:21:42,20.48,ARJE2553JA552,Yes,No,Fair,Fair,Poor,"The old format for alot easier to use, this format is a long process to upload a new AD and very time consuming when uploading multiple AD's.  It is also annoying that the boxes have a word count that you cannot go over.",,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Fair,Fair,Fair,Fair,Yes,Yes,,the lay out is not the easiest to use.,It was easy to transition to the NHS jobs but the old version was user friendly and easy to work through when having multiple AD's open,5,Neither easy nor difficult,"only being able to see the CV not the gender,name and so on. It is better and makes it fair across all services across the NHS",,,Fairly difficult,it is long winded and the word counts makes it difficult.,Frequently asked questions (FAQs),,,,,Useful,,4,,Other organisation type (please type in the box below),federation,South East,,HR Manager or equivalent,,Weekly,12 months or more,48,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,713fd634-62df-44ad-ab0d-d07620da9142,,12/10/2021,15:31:00,12/10/2021,15:37:13,6.22,ARJE8469WF672,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not think it is an easy site to navigate,None - I do not like the fact that I don't seem to be able to view applications in an easy format.,"Take out the 'steps' after an application ha been submitted and just let the organisation view / download the applications rather than the shortlisting, interview sections.",Very difficult,See above,Frequently asked questions (FAQs),User guides,,,,Useful,,2,,GP practice,,North East and Yorkshire,,Other job role (please type in the box below),PA to the Practice Manager,Quarterly,2 to 3 months,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed / YORLMC
